joint_0_right_waist,joint_1_right_shoulder,joint_2_right_elbow,joint_3_right_forearm_roll,joint_4_right_wrist_angle,joint_5_right_wrist_rotate,joint_6_left_waist,joint_7_left_shoulder,joint_8_left_elbow,joint_9_left_forearm_roll,joint_10_left_wrist_angle,joint_11_left_wrist_rotate,timestamp
80.21273134158494,40.85503885564804,66.45793801692554,-45.398622378409236,-17.681769888640634,0.46443651975673855,-88.69464219072948,-50.04782600367175,-85.00053320695339,14.646184049911882,26.467487048933048,95.28440651746664,1763551086.1260698
80.21270063268517,40.85505607072865,66.45809926802711,-45.39858337086358,-17.68157378348264,0.4642121276062575,-88.73265591276892,-50.06449380570526,-85.04573333768515,14.519350440977131,26.508327281390528,95.37664354451364,1763551086.3056061
80.21271475027552,40.85510787407654,66.45790462599128,-45.398584843493445,-17.68186223465869,0.46400319246094957,-88.77041853011747,-50.08009530403116,-85.07262137634449,14.415058661908578,26.545721665808088,95.46915454317204,1763551086.4825478
80.21270174647836,40.85522179163847,66.4580758537997,-45.39847923323052,-17.68183146582818,0.46414871841800975,-88.79416371893964,-50.081821688336504,-85.080793711213,14.39689153646279,26.57593443928836,95.47176047638591,1763551086.632208
80.21266802811498,40.85511495808322,66.4581507151022,-45.3985599147594,-17.68142558895146,0.46421029902406424,-88.82268484221919,-50.08146953457068,-85.1844001534295,14.276844078149013,26.635506454351823,95.57597710924344,1763551086.817142
80.21257671534146,40.854773504944326,66.45842849593443,-45.39845680844799,-17.68175115948073,0.46422958999467145,-88.84670003132334,-50.05469479163447,-85.2869430744396,14.209166154659082,26.70065260870637,95.63915417442576,1763551086.9914255
80.21248906283036,40.85493139500993,66.45828017278183,-45.398376410869055,-17.681573598455802,0.4644079230686414,-88.86139157482381,-50.03465366330076,-85.39390208433217,14.145686019281388,26.786671021599467,95.70588474010384,1763551087.175893
80.21245099110172,40.85492574207686,66.45859393599231,-45.39874794561119,-17.6816425767168,0.4640401578743993,-88.85282641005598,-49.99919478293458,-85.48827059281571,14.13745992375214,26.839661898909018,95.7353409999334,1763551087.3459947
80.2123748581136,40.85515758668527,66.45811094501522,-45.398266533130936,-17.681410192624835,0.46421919355893676,-88.84306735393744,-49.97056698259613,-85.59605768263575,14.073743643563098,26.900417640665523,95.75424922953522,1763551087.527179
80.211345915947,40.85208262542928,66.45869452892461,-45.39787482832707,-17.680143184050873,0.4630090800179091,-88.81808938066017,-49.993346042420534,-85.43305870065325,14.14601758424491,26.844718303164377,95.61652711169083,1763551087.8406155
80.21169846428639,40.85196971739599,66.45842306520449,-45.39822039286482,-17.67998924540856,0.4628361717983153,-88.80285975567922,-50.03798019009207,-85.33614383573806,14.197760604577422,26.784017140724558,95.58016896001227,1763551088.0319586
80.21179778011154,40.85192530005875,66.45867204423804,-45.39848231373505,-17.679786673498537,0.46304968016177556,-88.79909910864083,-50.08771817067729,-85.26350209033393,14.206933330555628,26.757261493666988,95.57848583315678,1763551088.2012737
80.21183284077412,40.851884517238275,66.45852251638127,-45.39807209000962,-17.679824013879767,0.4627337167129925,-88.81089831656193,-50.102709439573765,-85.33415375893857,14.182154791393248,26.803360976996238,95.60574908820837,1763551088.3753498
80.21167099720208,40.85196873158326,66.45855547882671,-45.398290389841705,-17.679831762466097,0.4627865017072983,-88.83505813812987,-50.132994407787734,-85.42592402281174,14.101851453510783,26.878897442190002,95.70525030499515,1763551088.5583062
80.21148745506716,40.85177034798856,66.45900159017359,-45.39827222922269,-17.679761676180647,0.4628026665576319,-88.90907877448144,-50.13006705770859,-85.8201600693902,13.818947020912217,27.21030370764912,95.94820350099246,1763551088.7916875
80.21152291612269,40.851723522738574,66.4591858248772,-45.39835372713443,-17.679953655090628,0.46287303764767057,-88.98095750147478,-50.11008964939385,-86.15420582870216,13.593718073980076,27.47673255393362,96.14926022889689,1763551089.0229642
80.21152764349425,40.851840548580434,66.45922952838689,-45.398126300736116,-17.679858941220477,0.4628092219772562,-89.15093099192961,-50.01304438006041,-86.96320459766837,13.096464983302026,28.097886452156164,96.62515858821709,1763551089.3085315
80.21162793028299,40.852262412972294,66.45941133114135,-45.39848121382956,-17.67990113097134,0.46251377279140365,-89.26522381632057,-49.848784413012844,-87.63758177780568,12.776541614469215,28.601232065950274,96.93923581236322,1763551089.5824182
80.21165282077246,40.851523261954746,66.45981843932253,-45.39810279164505,-17.67984421011447,0.4623176915629762,-89.33634774379682,-49.66988691265054,-88.2486911263294,12.533733364152729,29.007042980680875,97.16800909884309,1763551089.853209
80.21158524751893,40.85198203364539,66.45992396476369,-45.39811098613324,-17.679732029048623,0.4622694969861996,-89.40992595759778,-49.33258542363405,-89.18228188275368,12.229735067122714,29.595435002101844,97.48564653726773,1763551090.1525269
80.21147170171993,40.85188811575385,66.4606490542758,-45.39833389913731,-17.680084840826897,0.4622718604583294,-89.45306064315913,-48.90023196105309,-90.267360656288,11.950288771447966,30.217628538124885,97.80434835663455,1763551090.4785724
80.21154502522722,40.85176099729631,66.46066021741917,-45.39789644228183,-17.680189451175746,0.4619671336508631,-89.46815670731169,-48.56300299589971,-91.01680303679478,11.75326425824586,30.631825131854765,98.00486921380623,1763551090.762422
80.21137856955147,40.851956903646595,66.46038780770661,-45.39779000591467,-17.679867340285103,0.462237804196617,-89.44776035604919,-48.10985625950535,-91.97420450062447,11.629619181165294,31.129983042017894,98.16154143196508,1763551091.0684443
80.21149940062192,40.85223107506675,66.46084516862105,-45.397936363210555,-17.67984692238141,0.4624406950963262,-89.42000217916511,-47.797056539819586,-92.574835207266,11.567004717795538,31.43811772405103,98.25904169511696,1763551091.3371282
80.2113507302235,40.852225945165664,66.46052795698891,-45.39757558844129,-17.679911391841802,0.46261152913517184,-89.39416028093619,-47.574975081445174,-92.945917299485,11.545967702150614,31.613793439482468,98.30716535069028,1763551091.5675442
80.21164596666054,40.8520046556332,66.46092628494164,-45.397663886516575,-17.679973013683632,0.46255607845111496,-89.35458892741768,-47.39256940098126,-93.1969290807774,11.532845255492283,31.703976999417474,98.31411602525426,1763551091.778727
80.21169899543733,40.851859057460125,66.460975228813,-45.39769436861959,-17.67997130036931,0.4626544416871797,-89.33287481165704,-47.36754462578771,-93.1328971504505,11.568541838473088,31.685264148382597,98.26214592651793,1763551091.952906
80.21177049474238,40.85206348295019,66.4610948894712,-45.397774094247715,-17.67980706191758,0.46290090362932373,-89.31285840201602,-47.408150575369305,-92.94619432056214,11.636063870491466,31.59449008454899,98.22058459321319,1763551092.1578894
80.2117250790935,40.851825691416884,66.46096178808757,-45.39750699155778,-17.67986710547622,0.4625137255732386,-89.3011817570988,-47.47823058082716,-92.71524866753832,11.683694868661135,31.486950301908212,98.1742733510089,1763551092.367452
80.21157004241519,40.85211167036947,66.46040782585833,-45.397899683456316,-17.680014989777646,0.46255952804786693,-89.28631321505374,-47.637915377014124,-92.29363281661533,11.762447432542269,31.283692495780773,98.13022502315522,1763551092.6068938
80.21166585448158,40.851451529656885,66.46055017345601,-45.39777631756094,-17.679198566767298,0.4628491429059808,-89.29661169970171,-47.9728630760119,-91.6557265800213,11.876204458448582,30.92456764098402,98.04909530291678,1763551092.873424
80.21170397236011,40.85188127563647,66.46108708843211,-45.398044991056075,-17.6794595969021,0.4626661649319837,-89.27697488108042,-48.04047889987353,-91.52259195509718,11.934401366473285,30.83807775141063,97.96321419551475,1763551093.068236
80.21184686446229,40.851740350672955,66.46066902766641,-45.397578912300986,-17.679690217684044,0.4626936178081078,-89.23867770672199,-48.00713255863179,-91.51232811109634,11.975044555070708,30.792557392897344,97.8910211360513,1763551093.2424357
80.21196209377048,40.85190708153873,66.46067628259858,-45.397554460929776,-17.679279633733152,0.4627181652714895,-89.15877065088235,-47.87426104416884,-91.75797292865902,12.051146066533905,30.846108161352223,97.8373765028695,1763551093.4576185
